PLAYER_NAME,SEASON,DIST_MILES,PACE,POSS,FRONT_CT_TOUCHES,MIN,FGA_PG,USG_PCT,PAINT_TOUCHES,AVG_SPEED,AVG_DRIB_PER_TOUCH,INJURED_TYPE,INJURY
AJ Green,22-23,0.74,102.85,651,7.3,9.4,3.4,0.16,0.3,4.36,1.84,No_injury,0
AJ Griffin,22-23,1.58,102.71,2749,14.2,19.4,7.4,0.174,0.7,4.56,1.49,No_injury,0
Aaron Gordon,22-23,2.14,100.06,3828,23.3,30.1,11.0,0.206,6.8,3.99,2.11,Sprained_ankle,1
Aaron Holiday,22-23,1.05,103.64,1680,8.0,13.7,3.5,0.128,0.4,4.28,3.82,No_injury,0
Aaron Nesmith,22-23,1.92,101.82,3441,19.9,24.6,8.0,0.17,1.1,4.38,0.8,Sprained_ankle,1
Aaron Wiggins,22-23,1.48,102.56,2410,13.1,18.3,5.0,0.142,2.1,4.55,1.32,No_injury,0
Admiral Schofield,22-23,0.91,100.0,765,8.5,11.9,3.1,0.127,1.0,4.3,0.8,No_injury,0
Al Horford,22-23,2.16,99.68,3715,25.6,30.8,7.5,0.116,2.8,3.94,0.47,No_injury,0
Alec Burks,22-23,1.59,103.25,2422,21.2,22.0,9.0,0.218,0.4,4.04,2.34,No_injury,0
Aleksej Pokusevski,22-23,1.67,103.87,1465,24.2,21.9,7.8,0.179,3.4,4.31,0.75,No_injury,0
Alex Caruso,22-23,1.87,99.84,2982,18.2,23.9,4.3,0.109,1.3,4.36,1.86,No_injury,0
Alperen Sengun,22-23,1.95,99.74,3998,38.1,28.5,10.5,0.212,6.9,3.85,1.26,No_injury,0
Amir Coffey,22-23,0.94,101.34,1264,10.3,13.0,3.1,0.127,0.3,4.03,1.69,No_injury,0
Andre Drummond,22-23,0.93,101.82,1608,10.9,12.7,4.1,0.198,4.4,4.05,0.48,No_injury,0
Andrew Nembhard,22-23,2.09,102.29,3938,22.7,27.2,8.1,0.153,0.6,4.32,3.25,No_injury,0
Andrew Wiggins,22-23,2.33,103.74,2565,31.6,32.2,14.3,0.212,3.3,4.07,1.48,No_injury,0
Anfernee Simons,22-23,2.58,99.22,4485,32.3,35.0,16.9,0.247,0.6,4.13,4.18,Sprained_ankle,1
Anthony Davis,22-23,2.25,102.55,3466,37.8,33.8,17.3,0.281,10.7,3.77,0.89,No_injury,0
