AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,PAINT_TOUCHES
23.0,80.0,260.0,6.1,0.168,102.49,536,1.9,0.3,0.46,4.2,0.0,6.1,0.7,0.6,0.9
27.0,83.0,220.0,10.1,0.211,98.65,701,4.1,1.3,0.71,4.24,0.9,11.7,0.82,0.4,0.4
19.0,79.0,215.0,14.0,0.158,103.04,1568,4.5,2.5,1.09,4.32,1.1,12.6,2.15,0.5,1.0
32.0,79.0,220.0,29.7,0.148,100.34,4470,7.7,8.0,2.22,4.2,2.8,31.0,2.5,0.5,0.3
32.0,75.0,205.0,32.9,0.231,101.18,4666,14.2,13.0,2.46,4.22,6.2,24.9,4.43,0.7,2.3
26.0,82.0,253.0,33.0,0.288,103.73,3996,18.3,3.8,2.28,3.9,4.1,45.7,1.04,3.8,8.9
28.0,77.0,186.0,28.0,0.13,99.49,2372,6.2,4.0,2.12,4.23,1.3,20.3,2.67,0.8,1.4
31.0,78.0,225.0,19.1,0.214,99.99,2807,8.6,2.0,1.31,4.17,1.3,17.1,0.83,0.2,0.2
35.0,81.0,232.0,16.5,0.145,99.29,2123,4.6,0.3,1.18,4.09,0.2,15.1,0.56,2.2,3.9
31.0,83.0,265.0,22.0,0.136,102.91,2650,5.1,0.1,1.41,3.62,0.0,20.6,0.24,3.0,6.9
25.0,81.0,215.0,18.7,0.156,100.98,2799,6.0,1.5,1.49,4.48,0.9,14.7,0.91,0.6,2.0
26.0,79.0,240.0,27.8,0.245,104.73,3818,12.9,2.9,1.89,3.78,1.0,30.5,1.24,3.3,7.2
22.0,73.0,172.0,20.3,0.286,97.93,3296,9.8,9.1,1.5,4.46,3.4,23.4,4.49,0.5,0.6
34.0,73.0,205.0,16.6,0.21,95.93,2722,6.7,4.4,1.13,4.05,3.1,13.7,5.06,0.2,0.3
28.0,81.0,242.0,19.4,0.197,94.58,2757,7.3,1.5,1.35,4.21,0.7,16.7,0.42,0.5,1.4
23.0,73.0,164.0,34.9,0.333,100.2,5550,20.3,17.3,2.43,3.96,12.0,25.1,5.79,0.2,0.7
23.0,80.0,235.0,12.4,0.168,95.98,570,3.6,0.7,0.91,4.38,0.1,9.7,0.53,1.6,1.8
28.0,77.0,229.0,34.5,0.257,101.02,4056,17.5,14.5,2.59,4.21,7.2,37.0,4.41,0.5,1.4
29.0,80.0,225.0,25.5,0.131,104.82,3850,7.0,2.6,1.8,3.96,1.9,23.0,1.01,0.4,0.2
28.0,79.0,225.0,23.4,0.134,97.38,3497,6.0,1.5,1.67,4.31,0.7,21.9,0.51,0.6,0.7
25.0,79.0,220.0,18.1,0.162,104.28,1839,5.7,2.6,1.45,4.45,0.5,13.4,1.27,0.3,0.7
34.0,83.0,250.0,20.2,0.148,95.48,3207,4.7,0.2,1.42,4.24,0.1,11.8,0.26,2.7,6.3
30.0,79.0,210.0,23.8,0.248,97.28,2029,11.3,2.9,1.56,3.93,6.5,20.1,2.9,0.4,0.5
31.0,75.0,190.0,35.1,0.264,99.68,4810,18.0,12.5,2.65,4.24,8.5,32.8,3.9,0.8,0.6
24.0,72.0,180.0,12.7,0.22,104.54,938,5.6,4.4,1.0,4.38,1.7,10.6,4.36,0.2,0.4
24.0,77.0,212.0,11.1,0.218,102.85,781,4.7,3.6,0.83,4.21,1.5,8.5,4.0,0.1,0.3
24.0,78.0,196.0,16.5,0.14,101.87,1092,4.2,2.1,1.35,4.58,0.2,15.8,0.79,0.3,1.1
24.0,82.0,245.0,32.9,0.195,97.29,5407,12.1,1.2,2.25,4.11,0.8,28.3,0.3,3.6,6.6
26.0,80.0,230.0,8.8,0.17,104.39,1120,3.1,1.8,0.69,4.43,0.3,7.2,1.17,0.1,0.2
22.0,80.0,245.0,15.7,0.172,98.33,1834,5.2,0.6,1.11,4.21,0.6,13.9,0.32,2.0,2.3
37.0,80.0,215.0,19.3,0.11,99.42,955,4.1,1.2,1.37,4.0,0.3,14.3,0.58,0.3,0.9
30.0,82.0,270.0,17.4,0.239,101.91,1508,7.4,1.9,1.1,3.69,0.1,21.2,0.77,1.0,2.1
24.0,83.0,240.0,10.3,0.203,101.23,1042,3.4,0.3,0.75,4.38,0.1,10.0,0.54,1.9,3.2
20.0,82.0,210.0,19.8,0.149,100.23,1116,5.4,1.0,1.43,4.39,1.4,14.9,0.56,0.7,1.7
24.0,81.0,228.0,10.0,0.167,95.82,495,2.7,0.9,0.72,4.34,0.6,9.5,0.78,0.5,1.2
26.0,73.0,175.0,20.7,0.192,97.3,3117,7.2,4.5,1.45,4.23,3.3,16.8,4.24,0.3,0.6
28.0,77.0,189.0,8.2,0.167,104.28,460,2.7,1.7,0.66,4.51,0.9,7.5,3.4,0.0,0.3
22.0,80.0,198.0,19.4,0.147,94.52,2815,5.3,0.8,1.43,4.44,1.0,16.7,0.88,0.8,1.9
34.0,82.0,250.0,10.2,0.169,101.76,645,3.4,0.6,0.73,4.29,0.4,9.8,0.4,0.6,1.4
29.0,73.0,175.0,33.2,0.256,93.87,4499,14.6,11.1,2.33,4.22,7.1,34.0,5.14,1.1,0.6
29.0,85.0,265.0,33.4,0.22,90.45,3719,12.1,0.7,2.07,3.74,1.0,45.4,0.43,15.2,9.0
25.0,81.0,230.0,21.5,0.155,101.03,2984,6.3,0.3,1.61,4.49,0.2,18.5,0.42,3.5,6.5
27.0,83.0,249.0,14.3,0.151,96.84,1754,3.8,0.2,1.04,4.39,0.1,10.8,0.37,2.2,5.2
30.0,78.0,225.0,30.7,0.177,94.55,4654,11.0,2.7,2.08,4.07,3.6,26.9,1.46,0.4,0.7
25.0,79.0,230.0,33.0,0.252,94.95,4702,15.1,7.5,2.45,4.45,5.8,37.3,2.27,1.4,2.4
21.0,80.0,250.0,31.7,0.206,95.81,4801,11.8,4.4,2.35,4.45,2.3,28.0,0.91,2.8,4.2
29.0,80.0,230.0,17.0,0.095,96.95,2544,2.8,0.8,1.21,4.26,0.1,9.2,0.56,0.7,2.0
27.0,76.0,198.0,27.6,0.145,102.63,3966,7.9,5.6,2.15,4.38,1.7,23.7,1.42,0.3,1.0
29.0,77.0,215.0,23.2,0.175,100.25,3474,7.7,3.3,1.75,4.55,2.5,24.9,1.65,0.8,1.1
26.0,84.0,235.0,5.9,0.141,108.38,293,1.6,0.2,0.46,4.4,0.1,5.4,0.45,0.6,1.2
